demand_electricity,pv,delta_battery,heat_pump,import,export_pv
-2.174333333,0.0,0.0,-0.0,2.174333333,0.0
-2.256833333,0.0,0.0,-0.45833333325,2.71516666625,0.0
-2.115666667,0.0,0.0,-0.831436339,2.9471030060000003,0.0
-2.575833333,0.0,0.0,-0.60226967225,3.1781030052499997,0.0
-3.08825,0.0,0.0,-2.3,5.388249999999999,0.0
-3.608916667,1.8104999999999998,0.0,-2.3,4.098416667,0.0
-5.479833333,3.774,0.0,-2.3,4.005833333,0.0
-5.082,5.0915,-0.009500000000000064,-2.3,2.3,0.0
-5.83,5.822500000000001,0.007499999999999374,-2.3,2.3,0.0
-5.379,5.882,-0.5030000000000001,-2.3,2.3,0.0
-7.721083333,5.4145,0.40762500000000096,-2.3,4.198958332999998,0.0
-10.78916667,4.3945,0.0,-2.3,8.69466667,0.0
-8.331583333,2.601,0.0,-2.3,8.030583333,0.0
-5.520166667,0.36549999999999994,0.0,-2.3,7.454666667,0.0
-6.884166667,0.0,0.0,-2.3,9.184166667,0.0
-6.1765,0.0,0.0,-2.3,8.4765,0.0
-6.711833333,0.0,0.0,-2.3,9.011833333,0.0
-10.52241667,0.0,0.0,-2.3,12.822416669999999,0.0
-10.041625,0.0,0.0,-2.3,12.341625,0.0
-7.309041667,0.0,0.0,-2.3,9.609041667,0.0
-6.77325,0.0,0.0,-2.3,9.07325,0.0
-4.772166667,0.0,0.0,-2.3,7.072166666999999,0.0
-4.268,0.0,0.0,-2.1212060115,6.3892060115,0.0
-2.860916667,0.0,0.0,-2.3,5.160916667,0.0
-2.35675,0.0,0.0,-1.28976967225,3.64651967225,0.0
-2.041416667,0.0,0.0,-0.0,2.041416667,0.0
-1.803083333,0.0,0.0,-0.45833333325,2.2614166662499997,0.0
-2.068916667,0.0,0.0,-0.0,2.068916667,0.0
-2.088166667,0.0,0.0,-2.3,4.388166667,0.0
-2.841666667,2.1165000000000003,0.0,-2.3,3.0251666669999997,0.0
-3.201916667,4.2075000000000005,-1.0055833330000006,-2.3,2.3,0.0
-5.979416667,5.406,0.573416667,-2.3,2.3,0.0
-6.149,6.0264999999999995,0.12250000000000057,-2.3,2.3,0.0
-7.351666667,6.018,0.11860583272999999,-2.3,3.51506083427,0.0
-10.33175,5.5760000000000005,0.0,-2.3,7.055749999999999,0.0
-10.17683333,4.4965,0.0,-2.3,7.980333329999999,0.0
-6.647666667,2.4734999999999996,0.0,-2.3,6.474166667,0.0
-10.39958333,0.39949999999999997,0.0,-2.3,12.30008333,0.0
-8.124416667,0.0,0.0,-2.3,10.424416667,0.0
-6.1875,0.0,0.0,-2.3,8.4875,0.0
-8.008,0.0,0.0,-2.3,10.308,0.0
-9.988,0.0,0.0,-2.3,12.288,0.0
-10.5985,0.0,0.0,-2.3,12.898499999999999,0.0
-11.00641667,0.0,0.0,-2.3,13.30641667,0.0
-5.686083333,0.0,0.0,-2.3,7.986083333,0.0
-4.90325,0.0,0.0,-2.3,7.20325,0.0
-4.123166667,0.0,0.0,-2.3,6.423166666999999,0.0
-2.874666667,0.0,0.0,-0.22916666675,3.10383333375,0.0
-2.321916667,0.0,0.0,-1.4337060115,3.7556226785,0.0
-2.262333333,0.0,0.0,-0.60226967225,2.8646030052500002,0.0
-2.057916667,0.0,0.0,-0.22916666675,2.28708333375,0.0
-2.1945,0.0,0.0,-0.60226967225,2.79676967225,0.0
-1.96625,0.0,0.0,-2.3,4.266249999999999,0.0
-2.228875,0.5355,0.0,-2.3,3.993375,0.0
-3.309166667,1.5725,0.0,-2.3,4.0366666669999995,0.0
-6.399708333,2.55,0.0,-2.3,6.149708333000001,0.0
-6.831,4.08,0.0,-2.3,5.051,0.0
-8.074916667,4.7005,0.0,-2.3,5.674416667,0.0
-8.8,4.343500000000001,0.0,-2.3,6.7565,0.0
-13.24675,3.706,0.0,-2.3,11.84075,0.0
-7.533166667,1.5895000000000001,0.0,-2.3,8.243666667,0.0
-4.74375,0.17,0.0,-2.3,6.87375,0.0
-5.540333333,0.0,0.0,-2.3,7.840333333,0.0
-8.111583333,0.0,0.0,-2.3,10.411583333,0.0
-8.254583333,0.0,0.0,-2.3,10.554583333,0.0
-11.70491667,0.0,0.0,-2.3,14.00491667,0.0
-9.33625,0.0,0.0,-2.3,11.63625,0.0
-7.70825,0.0,0.0,-2.3,10.008249999999999,0.0
-6.7925,0.0,0.0,-2.3,9.092500000000001,0.0
-5.53025,0.0,0.0,-2.3,7.8302499999999995,0.0
-3.809666667,0.0,0.0,-2.3,6.109666667000001,0.0
-2.797666667,0.0,0.0,-2.26514235025,5.06280901725,0.0
-2.222,0.0,0.0,-0.60226967225,2.82426967225,0.0
-2.295791667,0.0,0.0,-0.831436339,3.127228006,0.0
-2.102375,0.0,0.0,-0.45833333325,2.56070833325,0.0
-2.19725,0.0,0.0,-0.0,2.19725,0.0
-2.540083333,0.0,0.0,-2.3,4.840083333,0.0
-3.0525,2.0825,0.0,-2.3,3.27,0.0
-4.326666667,4.2075000000000005,0.0,-2.3,2.419166666999999,0.0
-4.599833333,5.5505,-0.9506666670000001,-2.3,2.3,0.0
-4.07275,6.255999999999999,-2.183249999999999,-2.3,2.3,0.0
-5.610916667,6.29,-0.6790833330000002,-2.3,2.3,0.0
-6.105916667,5.6185,0.48741666699999975,-2.3,2.3,0.0
-8.663416667,4.352,2.601113333,-2.3,4.010303334,0.0
-6.98775,2.261,0.0,-2.3,7.02675,0.0
-6.512916667,0.2805,0.0,-2.3,8.532416667,0.0
-6.139375,0.0,0.0,-2.3,8.439375,0.0
-9.833083333,0.0,0.0,-2.3,12.133083332999998,0.0
-7.497875,0.0,0.0,-2.3,9.797875,0.0
-10.12641667,0.0,0.0,-2.3,12.426416669999998,0.0
-10.33175,0.0,0.0,-2.3,12.63175,0.0
-6.336916667,0.0,0.0,-2.3,8.636916667,0.0
-5.7475,0.0,0.0,-2.3,8.0475,0.0
-4.543,0.0,0.0,-2.3,6.843,0.0
-3.620833333,0.0,0.0,-2.3,5.920833332999999,0.0
