demand_electricity,electricity_balance,pv,heat_pump,supply_grid_power
-0.0,-2.79399999999805,0.0,-0.0,0.0
-0.0,-1.7090000000025611,0.0,-0.0,0.0
-0.0,-1.4699999999938882,0.0,-0.0,0.0
-0.0,-1.1660000000047148,0.0,-0.0,0.0
-0.0,-1.1229999999995925,0.0,-0.0,0.0
-0.0,-1.120999999999185,0.0,-0.0,0.0
-0.0,-1.1326666666682286,0.0,-0.0,0.0
-0.0,-2.005666666664183,0.0,-0.0,0.0
-0.0,-9.657689943338669,0.0,-20.27219,0.0
-0.0,-3.4095144206587698,0.0,-3.23677,0.0
-0.0,-4.474867866666453,0.0,-0.0,0.0
-0.0,-3.9535931269993596,0.0,-0.0,0.0
-0.0,-4.825415854670586,0.0,-5.341240000000001,0.0
-0.0,-3.6234479930027943,0.0,-0.0,0.0
-0.0,-2.687289997665522,0.0,-0.0,0.0
-0.0,-1.9902408046662787,0.0,-0.0,0.0
-0.0,-2.1149999999979627,0.0,-0.0,0.0
-0.0,-2.9623333333365736,0.0,-0.0,0.0
-0.0,-4.068583333330287,0.0,-1.6595900000000003,0.0
-0.0,-9.736249999998545,0.0,-8.40515,0.0
-0.0,-7.909083333336691,0.0,-8.709330000000001,0.0
-0.0,-3.370666666669422,0.0,-0.0,0.0
-0.0,-8.181833333337213,0.0,-10.246979999999999,0.0
-0.0,-3.4029999999911524,0.0,-0.0,0.0
-0.0,-2.451666666667734,0.0,-0.0,0.0
-0.0,-2.0706666666665114,0.0,-0.0,0.0
-0.0,-1.3000000000029104,0.0,-0.0,0.0
-0.0,-1.1830000000009022,0.0,-0.0,0.0
-0.0,-1.0113333333320043,0.0,-0.0,0.0
-0.0,-1.2503333333261253,0.0,-0.0,0.0
-0.0,-1.3623333333416667,0.0,-0.0,0.0
-0.0,-20.665249999994966,0.0,-49.32339,0.0
-0.0,-9.908653033335904,0.0,-21.81051,0.0
-0.0,-2.8144736066654055,0.0,-2.2645999999999993,0.0
-0.0,-2.6518562776726524,0.0,-0.0,0.0
-0.0,-2.9736927883256596,0.0,-0.0,0.0
-0.0,-0.3860831450022708,0.0,-3.4370999999999996,0.0
-0.0,0.7942091816712544,0.0,-4.297380000000001,0.0
-0.0,-2.7371900056709353,0.0,-0.0,0.0
-0.0,-2.7714933136673263,0.0,-0.0,0.0
-0.0,-5.363000000002067,0.0,-7.262800000000003,0.0
-0.0,-16.341499999994035,0.0,-34.924420000000005,0.0
-0.0,-7.66258333333797,0.0,-9.94615,0.0
-0.0,-6.034333333329414,0.0,-0.0,0.0
-0.0,-7.073583333335234,0.0,-4.862189999999999,0.0
-0.0,-7.520916666667995,0.0,-8.796429999999999,0.0
-0.0,-4.069999999996071,0.0,-0.0,0.0
-0.0,-2.9413333333359333,0.0,-0.0,0.0
-0.0,-2.244666666669218,0.0,-0.0,0.0
-0.0,-1.7259999999987485,0.0,-0.0,0.0
-0.0,-1.4060000000026776,0.0,-0.0,0.0
-0.0,-1.0986666666649398,0.0,-0.0,0.0
-0.0,-1.1823333333340997,0.0,-0.0,0.0
-0.0,-1.0350000000034925,0.0,-0.0,0.0
-0.0,-1.6196666666583042,0.0,-0.0,0.0
-0.0,-2.9210000000017464,0.0,-1.5838800000000006,0.0
