demand_heat,heat_balance,heat_pump,district_heating_industry,district_heating
-0.0,0.0,0.0368,1.0258,-0.0
-0.0,0.0,0.0368,3.60241599571965,-0.0
-0.0,0.0,0.0368,2.351284804824301,-0.0
-0.0,0.0,0.0368,2.7778431711704448,-0.0
-0.0,0.0,0.0368,2.253046307149466,-0.0
-0.0,0.0,0.0368,2.1713123534431,-0.0
-0.0,0.0,0.0368,1.9061727405034998,-0.0
-0.0,0.0,0.0368,1.8201211882114996,-0.0
-0.0,0.0,0.0368,1.912139926557,-0.0
-0.0,0.0,0.0368,2.23497448014543,-0.0
-0.0,0.0,0.0368,2.0198702787075975,-0.0
-0.0,0.0,0.0368,2.3244027975495696,-0.0
-0.0,0.0,0.0368,2.6300882140682234,-0.0
-0.0,0.0,0.0368,2.204742837967312,-0.0
-0.0,0.0,0.0368,2.1459283941194554,-0.0
-0.0,0.0,0.0368,2.0964377244555057,-0.0
-0.0,0.0,0.0368,1.5721871016614815,-0.0
-0.0,0.0,0.0368,0.78645191592,-0.0
-0.0,0.0,0.02176851506,0.0,-0.0
-0.0,0.0,0.029652772584000002,0.0,-0.0
-0.0,0.0,0.012,0.0,-0.0
