demand_heat,heat_pump,district_heating_industry,district_heating
-60.29745067,9.2,51.09745067,-0.0
-63.21064382,9.2,54.01064382,-0.0
-70.4317082,9.2,61.2317082,-0.0
-61.4317082,9.2,52.2317082,-0.0
-72.87383697,9.2,63.673836969999996,-0.0
-55.3263863,9.2,46.12638630000001,-0.0
-53.35532191,9.2,44.15532191,-0.0
-48.94212877,9.2,39.742128769999994,-0.0
-68.37383697,9.2,59.173836969999996,-0.0
-78.2291589,9.2,69.0291589,-0.0
-68.56596573,9.2,59.36596573,-0.0
-54.01851506,9.2,44.818515059999996,-0.0
-61.15277258,9.2,51.95277258,-0.0
-54.76851506,9.2,45.568515059999996,-0.0
-9.942128768,9.2,0.7421287680000006,-0.0
-17.0763863,9.2,7.8763863,-0.0
-0.75,0.75,0.0,-0.0
-4.692128765,4.692128765,0.0,-0.0
-1.971064382,1.971064382,0.0,-0.0
-0.75,0.75,0.0,-0.0
-1.971064382,1.971064382,0.0,-0.0
-36.94212877,9.2,27.742128769999997,-0.0
-72.94212877,9.2,63.742128769999994,-0.0
-62.8263863,9.2,53.62638630000001,-0.0
-64.23957944,9.2,55.03957944,-0.0
-82.7291589,9.2,73.5291589,-0.0
-69.40277258,9.2,60.20277258,-0.0
-64.98957944,9.2,55.78957944,-0.0
-71.65277258,9.2,62.45277258,-0.0
-73.53703011,9.2,64.33703011,-0.0
-52.60532191,9.2,43.40532191,-0.0
-47.35532191,9.2,38.15532191,-0.0
-63.6817082,9.2,54.4817082,-0.0
-65.84490135,9.2,56.64490135,-0.0
-50.63425753,9.2,41.43425753,-0.0
-69.03703011,9.2,59.83703011,-0.0
-51.48957944,9.2,42.28957944,-0.0
-44.63425753,9.2,35.43425753,-0.0
-14.91319315,9.2,5.71319315,-0.0
-8.442128768,8.442128768,0.0,-0.0
-7.413193146,7.413193146,0.0,-0.0
-1.971064382,1.971064382,0.0,-0.0
-2.721064382,2.721064382,0.0,-0.0
-1.5,1.5,0.0,-0.0
0.0,0.0,0.0,-0.0
-36.47106438,9.2,27.271064380000002,-0.0
-77.3553219,9.2,68.1553219,-0.0
-57.10532191,9.2,47.90532191,-0.0
-60.76851506,9.2,51.568515059999996,-0.0
-53.72106438,9.2,44.52106438,-0.0
-56.8263863,9.2,47.62638630000001,-0.0
-57.85532191,9.2,48.65532191,-0.0
-46.97106438,9.2,37.77106438,-0.0
-56.0763863,9.2,46.87638630000001,-0.0
-48.85532191,9.2,39.65532191,-0.0
-45.47106438,9.2,36.27106438,-0.0
-46.41319315,9.2,37.213193149999995,-0.0
-58.51851506,9.2,49.318515059999996,-0.0
-57.96064382,9.2,48.76064382,-0.0
-64.81596573,9.2,55.61596573,-0.0
-60.96064382,9.2,51.76064382,-0.0
-50.0763863,9.2,40.87638630000001,-0.0
-10.22106438,9.2,1.0210643800000003,-0.0
-14.82638629,9.2,5.626386290000001,-0.0
-8.442128768,8.442128768,0.0,-0.0
-3.471064382,3.471064382,0.0,-0.0
-0.75,0.75,0.0,-0.0
-3.942128765,3.942128765,0.0,-0.0
-0.75,0.75,0.0,-0.0
-39.66319315,9.2,30.46319315,-0.0
-80.3553219,9.2,71.1553219,-0.0
-58.60532191,9.2,49.40532191,-0.0
-68.1817082,9.2,58.9817082,-0.0
-56.35532191,9.2,47.15532191,-0.0
-60.29745067,9.2,51.09745067,-0.0
-49.97106438,9.2,40.77106438,-0.0
-64.51851506,9.2,55.318515059999996,-0.0
-67.90277258,9.2,58.70277258,-0.0
-63.87383697,9.2,54.673836969999996,-0.0
-56.73957944,9.2,47.53957944,-0.0
-48.38425753,9.2,39.18425753,-0.0
-49.60532191,9.2,40.40532191,-0.0
-54.29745067,9.2,45.09745067,-0.0
-64.34490135,9.2,55.14490135,-0.0
-50.65277258,9.2,41.45277258,-0.0
-47.35532191,9.2,38.15532191,-0.0
-20.54745067,9.2,11.34745067,-0.0
-12.66319315,9.2,3.4631931500000004,-0.0
-6.192128765,6.192128765,0.0,-0.0
-4.692128765,4.692128765,0.0,-0.0
0.0,0.0,0.0,-0.0
-1.971064382,1.971064382,0.0,-0.0
-1.971064382,1.971064382,0.0,-0.0
-38.44212877,9.2,29.242128769999997,-0.0
-74.16319315,9.2,64.96319315,-0.0
-70.4317082,9.2,61.2317082,-0.0
-63.48957944,9.2,54.28957944,-0.0
-52.13425753,9.2,42.93425753,-0.0
-68.9317082,9.2,59.7317082,-0.0
-63.29745067,9.2,54.09745067,-0.0
-50.16319315,9.2,40.963193149999995,-0.0
-65.9317082,9.2,56.7317082,-0.0
-54.10532191,9.2,44.90532191,-0.0
-52.3263863,9.2,43.12638630000001,-0.0
-57.76851506,9.2,48.568515059999996,-0.0
-62.73957944,9.2,53.53957944,-0.0
-65.37383697,9.2,56.173836969999996,-0.0
-46.88425753,9.2,37.68425753,-0.0
-66.59490135,9.2,57.39490135,-0.0
-45.10532191,9.2,35.90532191,-0.0
-11.44212877,9.2,2.2421287700000008,-0.0
-17.35532191,9.2,8.155321910000001,-0.0
-11.35532191,9.2,2.1553219100000014,-0.0
0.0,0.0,0.0,-0.0
-1.971064382,1.971064382,0.0,-0.0
0.0,0.0,0.0,-0.0
0.0,0.0,0.0,-0.0
-37.69212877,9.2,28.492128769999997,-0.0
-78.01851503,9.2,68.81851503,-0.0
-67.04745068,9.2,57.847450679999994,-0.0
-59.73957944,9.2,50.53957944,-0.0
-52.60532191,9.2,43.40532191,-0.0
-49.41319315,9.2,40.213193149999995,-0.0
-55.13425753,9.2,45.93425753,-0.0
-48.47106438,9.2,39.27106438,-0.0
-58.79745067,9.2,49.59745067,-0.0
-56.73957944,9.2,47.53957944,-0.0
-53.35532191,9.2,44.15532191,-0.0
-45.94212877,9.2,36.742128769999994,-0.0
-44.91319315,9.2,35.713193149999995,-0.0
-43.41319315,9.2,34.213193149999995,-0.0
-67.06596573,9.2,57.86596573,-0.0
-42.66319315,9.2,33.463193149999995,-0.0
-59.65277258,9.2,50.45277258,-0.0
-14.16319315,9.2,4.96319315,-0.0
-6.471064382,6.471064382,0.0,-0.0
-3.471064382,3.471064382,0.0,-0.0
-0.75,0.75,0.0,-0.0
-1.971064382,1.971064382,0.0,-0.0
-5.442128765,5.442128765,0.0,-0.0
0.0,0.0,0.0,-0.0
